price,address,features,is_active,url,id,city,state,zipcode
3200+ 1 bd,101 Soquel Ave,No features available,No status available,/b/101-soquel-ave-santa-cruz-ca-5j4MVf/,18,Santa Cruz,CA,
3100/mo,306 Cliff St APT 12,"2 bds, 1 ba, 428 sqft",Apartment for rent,https://www.zillow.com/homedetails/306-Cliff-St-APT-12-Santa-Cruz-CA-95060/2062583575_zpid/,19,Santa Cruz,CA,95060
8999/mo,2 Ortalon Ave,"4 bds, 2 ba, -- sqft",House for rent,https://www.zillow.com/homedetails/2-Ortalon-Ave-Santa-Cruz-CA-95060/16100221_zpid/,20,Santa Cruz,CA,95060
3995/mo,114 Baldwin St,"2 bds, 1 ba, 900 sqft",House for rent,https://www.zillow.com/homedetails/114-Baldwin-St-Santa-Cruz-CA-95060/16102692_zpid/,21,Santa Cruz,CA,95060
2495/mo,114-116 Maple St #1,"1 bd, 1 ba, -- sqft",Apartment for rent,https://www.zillow.com/homedetails/114-116-Maple-St-1-Santa-Cruz-CA-95060/2057921980_zpid/,22,Santa Cruz,CA,95060
4150/mo,592 Redwood Dr,"3 bds, 1 ba, 1,800 sqft",House for rent,https://www.zillow.com/homedetails/592-Redwood-Dr-Santa-Cruz-CA-95060/112768017_zpid/,23,Santa Cruz,CA,95060
7000/mo,1518 W Cliff Dr,"4 bds, 3 ba, -- sqft",House for rent,https://www.zillow.com/homedetails/1518-W-Cliff-Dr-Santa-Cruz-CA-95060/16103696_zpid/,24,Santa Cruz,CA,95060
2510+ 1 bd,631 Riverside Ave,No features available,No status available,/b/beautiful-remodeled-home-near-the-beach!-santa-cruz-ca-5Z2VbS/,25,Santa Cruz,CA,
3595/mo,140 Torry Pine Ter,"2 bds, 2 ba, 1,012 sqft",House for rent,https://www.zillow.com/homedetails/140-Torry-Pine-Ter-Santa-Cruz-CA-95060/16102138_zpid/,26,Santa Cruz,CA,95060
5149/mo,,"3 bds, 2 ba, -- sqft",Apartment for rent,https://www.zillow.com/b/west-side-living-3-blocks-from-mitchells-cove-and-west-cliff-drive.-santa-cruz-ca-Cgvj2Y/,27,,,
3850/mo,119 Franklin St,"3 bds, 2 ba, 1,113 sqft",House for rent,https://www.zillow.com/homedetails/119-Franklin-St-Santa-Cruz-CA-95060/2108562610_zpid/,28,Santa Cruz,CA,95060
4995/mo,1705 King St,"3 bds, 2 ba, 1,863 sqft",House for rent,https://www.zillow.com/homedetails/1705-King-St-Santa-Cruz-CA-95060/16101446_zpid/,29,Santa Cruz,CA,95060
5500/mo,1021 Nobel Dr,"3 bds, 3 ba, 1,323 sqft",House for rent,https://www.zillow.com/homedetails/1021-Nobel-Dr-Santa-Cruz-CA-95060/16102502_zpid/,30,Santa Cruz,CA,95060
4500/mo,438 Western Dr,"2 bds, 1 ba, 1,155 sqft",House for rent,https://www.zillow.com/homedetails/438-Western-Dr-Santa-Cruz-CA-95060/16100916_zpid/,31,Santa Cruz,CA,95060
3250/mo,306 Cliff St #14,"2 bds, 1 ba, 428 sqft",Apartment for rent,https://www.zillow.com/homedetails/306-Cliff-St-14-Santa-Cruz-CA-95060/2070203876_zpid/,32,Santa Cruz,CA,95060
3595/mo,131 Palo Verde Ter,"2 bds, 2 ba, 828 sqft",House for rent,https://www.zillow.com/homedetails/131-Palo-Verde-Ter-Santa-Cruz-CA-95060/16101964_zpid/,33,Santa Cruz,CA,95060
3600/mo,515 Bay St,"2 bds, 1 ba, 822 sqft",House for rent,https://www.zillow.com/homedetails/515-Bay-St-Santa-Cruz-CA-95060/16105090_zpid/,34,Santa Cruz,CA,95060
8600/mo,106 Grandview St,"4 bds, 3 ba, 2,300 sqft",House for rent,https://www.zillow.com/homedetails/106-Grandview-St-Santa-Cruz-CA-95060/16100994_zpid/,35,Santa Cruz,CA,95060
2900/mo,(undisclosed Address),"Studio, 1 ba, 550 sqft",Apartment for rent,https://www.zillow.com/homedetails/Santa-Cruz-CA-95060/440924197_zpid/,36,Santa Cruz,CA,95060
4200/mo,1135 King St #1,"2 bds, 1 ba, 1,240 sqft",Apartment for rent,https://www.zillow.com/homedetails/1135-King-St-1-Santa-Cruz-CA-95060/441596963_zpid/,37,Santa Cruz,CA,95060
4995/mo,202 Panetta Ave #10,"2 bds, 3 ba, 1,340 sqft",Apartment for rent,https://www.zillow.com/homedetails/202-Panetta-Ave-10-Santa-Cruz-CA-95060/2066368828_zpid/,38,Santa Cruz,CA,95060
3495/mo,312 Myrtle St #1,"2 bds, 1 ba, 920 sqft",Townhouse for rent,https://www.zillow.com/homedetails/312-Myrtle-St-1-Santa-Cruz-CA-95060/441583034_zpid/,39,Santa Cruz,CA,95060
2800/mo,311 Elm St #B,"1 bd, 1 ba, 800 sqft",Apartment for rent,https://www.zillow.com/homedetails/311-Elm-St-B-Santa-Cruz-CA-95060/441554613_zpid/,40,Santa Cruz,CA,95060
